,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,is_business_travel_ready,cancellation_policy
582,f,4.0,-22.98158695428948,-43.19478733959311,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",Essentials}",$140.00,2,$35.00,4,365,83.0,f,f,strict_14_with_grace_period
583,f,1.0,-22.96528255522611,-43.19076667944667,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Washer,Essentials,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Long term stays allowed"",""Cleaning before checkout"",""Wide hallway clearance"",""Well-lit path to entrance"",""Step-free access"",""Accessible-height bed"",""Step-free access"",""Host greets you"",""Handheld shower head""}",$350.00,3,$100.00,7,90,2.0,f,f,flexible
584,t,4.0,-22.97067462796077,-43.18921726890869,Condominium,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Doorman,""Pets live on this property"",Dog(s),Elevator,""Free street parking"",""Buzzer/wireless intercom"",Washer,""First aid kit"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$171.00,1,$40.00,2,60,5.0,t,f,moderate
585,f,1.0,-22.963560904332823,-43.17930699462975,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$194.00,2,$78.00,3,90,6.0,t,f,strict_14_with_grace_period
586,f,5.0,-22.916948713544503,-43.19210894948472,House,Private room,1,0.0,1.0,1.0,Real Bed,"{""Cable TV"",Wifi,Kitchen,""Free street parking"",Essentials,""Lock on bedroom door"",""Host greets you""}",$35.00,1,$0.00,2,70,8.0,f,f,moderate
587,f,22.0,-23.009551181450785,-43.29092425976079,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Family/kid friendly"",Washer,Dryer,Essentials}",$307.00,1,$0.00,1,1125,0.0,f,f,flexible
588,f,1.0,-23.00531484991205,-43.31136173952889,Bed and breakfast,Private room,6,1.0,1.0,6.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Smoking allowed"",Breakfast,""Family/kid friendly"",""Suitable for events"",Washer}",$159.00,1,$70.00,1,365,0.0,f,f,strict_14_with_grace_period
589,f,2.0,-22.97809706257296,-43.19266071630982,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""translation missing: en.hosting_amenity_49""}",$299.00,1,$100.00,4,10,15.0,t,f,moderate
590,f,5.0,-22.91743958455668,-43.17779837121451,Hostel,Shared room,4,2.0,1.0,4.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Paid parking off premises"",""Smoking allowed"",Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Hot water"",""Host greets you""}",$39.00,1,$45.00,1,30,8.0,f,f,strict_14_with_grace_period
591,t,2.0,-22.966531891873803,-43.179787783062,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed""}",$109.00,1,$0.00,2,1125,99.0,f,f,strict_14_with_grace_period
592,f,3.0,-22.92113731442339,-43.186032660665134,House,Private room,3,1.0,1.0,3.0,Real Bed,"{Internet,Wifi,Pool,""Smoking allowed"",Breakfast,Washer,Dryer}",$350.00,2,$50.00,2,1125,5.0,f,f,flexible
593,f,3.0,-22.92180441110233,-43.186020745059146,House,Private room,3,1.0,1.0,3.0,Real Bed,"{Internet,Wifi,Pool,""Smoking allowed"",Breakfast,Washer,Dryer}",$482.00,2,$50.00,1,1125,2.0,f,f,flexible
594,f,3.0,-22.921072228928,-43.18674901292465,House,Private room,3,1.0,1.0,3.0,Real Bed,"{Internet,Wifi,Pool,""Smoking allowed"",Breakfast,Washer,Dryer}",$350.00,2,$50.00,1,1125,5.0,f,f,flexible
595,f,2.0,-22.986022833580407,-43.19124859223129,Apartment,Entire home/apt,6,3.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",$952.00,1,$0.00,90,730,4.0,f,f,strict_14_with_grace_period
596,f,1.0,-23.02188779089564,-43.51053588085845,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Gym,Elevator,""Family/kid friendly"",""Fire extinguisher""}",$400.00,1,$0.00,7,1125,0.0,t,f,flexible
597,t,2.0,-22.96228987141479,-43.17555509916381,Apartment,Entire home/apt,5,1.0,1.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}",$159.00,2,$43.00,2,30,44.0,t,f,strict_14_with_grace_period
598,f,2.0,-22.965194378618364,-43.20152496849301,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,""Air conditioning"",Shampoo}",$198.00,1,$50.00,4,45,4.0,f,f,strict_14_with_grace_period
599,f,3.0,-22.982098459833946,-43.19922746009163,Apartment,Entire home/apt,7,2.5,3.0,7.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$396.00,6,$90.00,4,150,3.0,t,f,strict_14_with_grace_period
